NMJCounting,Muscle,Fenotype,Genotype,Maturity,Bounds0Red,Bounds1Red,Bounds2Red,CCDistRed,CCSize0Red,CCSize1Red,CCSize2Red,CCRed,FragmentationRed,Compactness0Red,Compactness1Red,MeanIntensityRed,ShapeFactor0Red,ShapeFactor1Red,ShapeFactor2Red,SkeletonLengthRed,SurfaceVolumeRatio0Red,SurfaceVolumeRatio1Red,Surface0Red,Surface1Red,Surface2Red,Surface3Red,SurfaceDil0Red,SurfaceDil1Red,Volume0Red,Volume1Red,Bounds0Gr,Bounds1Gr,Bounds2Gr,CCDistGr,CCSize0Gr,CCSize1Gr,CCSize2Gr,CCGr,Compactness0Gr,Compactness1Gr,FragmentationGr,ShapeFactor0Gr,ShapeFactor1Gr,ShapeFactor2Gr,SkeletonLengthGr,SurfaceVolumeRatio0Gr,SurfaceVolumeRatio1Gr,Surface0Gr,Surface1Gr,Surface2Gr,Surface3Gr,SurfaceDil0Gr,SurfaceDil1Gr,Volume0Gr,Volume1Gr,IoUGr,ComDist,Coverage,HausDist,NIntersection,NUnion
Degenerating,0,1,2,1,50,61,8,0,2077,2077,2077,1,0,60.4,32.006,0.599,2.863,-1.497,0.622,128,1.207,0.79,1641,990.652,2506,6399.04,2506,1641,2077,524.858,3,13,3,4.973,1,2,1.333,3,116.19,2,0.667,14.017,-3.504,3.046,8,15,1,4,10.465,60,166.463,60,4,4,1.011,0.003,1.546,0.192623529,0,4,1179
Degenerating,0,1,2,1,50,49,3,0,3197,3197,3197,1,0,78.006,45.774,0.592,1.906,-1.291,0.414,234,1.239,0.869,2777,1129.2,3962,10553.95,3962,2777,3197,807.882,40,41,2,8.664,1,283,52.222,9,176.35,21.679,0.889,2.862,-1.005,0.622,248,4.045,1,470,466.868,1901,5138.801,1901,470,470,118.769,0.27,2.287,14.70128063,0,470,1742
Degenerating,1,0,0,2,52,65,4,10.795,24,3777,1900.5,2,0.5,115.67,57.373,0.557,1.586,-0.997,0.345,402,1.521,0.953,3623,-1540.942,5782,-15497.02,5782,3623,3801,960.513,50,57,3,11.023,7,381,171.833,6,187.476,32.109,0.833333333,2.205,-0.875,0.479,422,3.242,1,1031,-851.516,3343,-8994.323,3343,1031,1031,260.534,0.421,1.376,27.1244637,0,1031,2370
Degenerating,0,1,2,1,61,41,3,0,3271,3271,3271,1,0,100.494,50.586,0.598,1.787,-1.126,0.388,342,1.456,0.921,3014,1413.896,4763,12631.24,4763,3014,3271,826.582,59,37,3,9.525,1,152,16.042,24,243.382,19.621,0.958,3.067,-0.933,0.666,238,5.358,1,385,485.047,2063,5598.327,2063,385,385,97.289,0.208,1.67,11.77003612,0,385,1850
Degenerating,0,1,2,1,41,42,7,8.889,83,1537,568,3,0.667,80.874,35.362,0.576,2.41,-1.287,0.524,178,1.566,0.902,1537,935.451,2668,6626.861,2668,1537,1704,440.207,39,40,5,9.832,21,420,156,4,136.724,24.92,0.75,2.646,-1.046,0.575,192,3.106,0.998,623,561.35,1938,4931.814,1938,623,624,161.203,0.674,0.639,36.61981749,0,624,926
Degenerating,1,1,3,1,23,57,4,0,1111,1111,1111,1,0,111.635,33.152,0.493,2.237,1.069,0.486,304,2.239,0.996,1067,2232,1667,2238,2487,1107,1111,280.75,13,15,2,4.693,1,51,15.25,4,88.613,7.81,0.75,5.653,1.937,1.228,26,5.049,1,61,178,160,196,308,61,61,15.415,0.143,3.906,5.490650045,34.029,61,426
Degenerating,1,0,0,0,77,58,3,0,2225,2225,2225,1,0,192.598,47.17,0.557,1.704,0.748,0.37,862,2.555,1,2225,5070,4123,5076,5684,2225,2225,562.257,54,45,3,9.465,1,103,14,19,211.882,16.31,0.947368421,3.46,1.12,0.752,180,5.526,1,266,822,773,888,1470,266,266,67.218,0.227,3.023,11.955,20.64,266,1170
Degenerating,0,1,2,1,49,34,5,0,2186,2186,2186,1,0,92.821,43.239,0.491,1.986,-1.149,0.432,360,1.58,0.949,2075,1084.25,3453,8703.106,3453,2075,2186,564.726,42,27,4,7.513,1,47,7.235,17,204.684,11.091,0.941,4.474,-1.196,0.972,108,6.984,1,123,179.317,859,2255.475,859,123,123,31.776,0.145,2.134,5.626799545,0,123,847
Degenerating,1,0,0,1,43,56,3,12.796,1,1324,662.5,2,0.5,151.41,36.154,0.412,2.063,-0.946,0.448,374,2.586,0.995,1319,-889.873,3427,-9203.665,3427,1319,1325,334.827,41,48,2,10.161,1,205,26.6,10,183.375,16.31,0.9,3.46,-1.073,0.752,174,5.019,1,266,-337.414,1335,-3587.234,1335,266,266,67.218,0.543,2.889,20.07544194,0,266,490
Degenerating,0,1,2,1,21,15,4,4.979,2,548,275,2,0.5,40.066,17.356,0.612,3.88,-2.203,0.843,38,1.429,0.818,450,240.277,786,1987.601,786,450,550,142.086,19,12,2,4.852,2,150,52,3,61.396,12.37,0.667,4.509,-1.897,0.98,12,2.891,0.994,155,123.529,451,1154.808,451,155,156,40.301,0.515,0.766,28.36380783,0,156,303
