NMJCounting,Muscle,Fenotype,Genotype,Maturity,Bounds0Red,Bounds1Red,Bounds2Red,CCDistRed,CCSize0Red,CCSize1Red,CCSize2Red,CCRed,FragmentationRed,Compactness0Red,Compactness1Red,MeanIntensityRed,ShapeFactor0Red,ShapeFactor1Red,ShapeFactor2Red,SkeletonLengthRed,SurfaceVolumeRatio0Red,SurfaceVolumeRatio1Red,Surface0Red,Surface1Red,Surface2Red,Surface3Red,SurfaceDil0Red,SurfaceDil1Red,Volume0Red,Volume1Red,Bounds0Gr,Bounds1Gr,Bounds2Gr,CCDistGr,CCSize0Gr,CCSize1Gr,CCSize2Gr,CCGr,Compactness0Gr,Compactness1Gr,FragmentationGr,ShapeFactor0Gr,ShapeFactor1Gr,ShapeFactor2Gr,SkeletonLengthGr,SurfaceVolumeRatio0Gr,SurfaceVolumeRatio1Gr,Surface0Gr,Surface1Gr,Surface2Gr,Surface3Gr,SurfaceDil0Gr,SurfaceDil1Gr,Volume0Gr,Volume1Gr,IoUGr,ComDist,Coverage,HausDist,NIntersection,NUnion
Degenerating,0,1,2,1,8,31,3,7.963,37,167,102,2,0.5,74.762,14.178,0.305,4.102,-1.606,0.891,54,3.015,0.995,203,197.171,615,1546.016,615,203,204,52.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Degenerating,0,1,2,1,67,46,6,12.368,1,1663,581.5,6,0.833,87.04,41.581,0.649,2.122,-1.26,0.461,276,1.295,0.791,2761,1418.35,4518,11387.7,4518,2761,3489,901.34,64,44,4,13.448,7,436,173,6,136.137,31.661,0.833,2.342,-1.044,0.509,258,2.614,0.988,1026,746.398,2713,6943.465,2713,1026,1038,268.154,0.476,1.272,29.75059356,0,1038,2180
Degenerating,0,1,2,1,53,47,5,0,2085,2085,2085,1,0,94.289,43.027,0.553,2.038,-1.132,0.443,296,1.622,0.961,2004,1111.728,3381,8858.165,3381,2004,2085,526.88,46,41,3,7.299,1,27,4.684,19,220.702,9.434,0.947,4.984,-1.239,1.083,80,8.18,1,89,158.764,728,1987.962,728,89,89,22.49,0.083,1.642,4.268524142,0,89,1072
Degenerating,0,1,2,1,50,70,7,17.691,213,4211,2212,2,0.5,79.773,46.804,0.674,1.997,-1.243,0.434,296,1.129,0.791,3500,1645.388,4994,12509.86,4994,3500,4424,1142.885,49,69,6,17.147,51,1455,753,2,163.78,38.807,0.5,1.981,-0.85,0.43,396,2.612,1,1506,1168.038,3933,9979.854,3933,1506,1506,389.056,0.515,1.065,34.04157024,0,1506,2927
Degenerating,1,0,0,0,26,89,3,14.283,1,1257,315,4,0.75,153.954,34.949,0.543,2.112,0.947,0.459,486,2.66,0.99,1229,2740,2222,2764,3351,1247,1260,318.402,21,71,2,12.45,1,40,6,15,197.46,9.487,0.933333333,4.965,1.396,1.079,108,7.567,1,90,320,319,356,681,90,90,22.743,0.151,2.538,7.143,15.684,90,595
Degenerating,1,1,3,1,59,52,3,8.617,7,2747,1377,2,0.5,126.994,51.879,0.687,1.664,0.916,0,384,1.802,0.992,2628,4774,3707,4774,4964,2733,2754,695.936,0,0,0,0,100000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520.062,0,1718
Degenerating,1,1,3,1,56,61,6,7.83,3,1874,938.5,2,0.5,155.706,42.634,0.59,1.869,0.841,0.001,600,2.346,0.989,1812,4026,3030,4032,4404,1857,1877,474.318,35,44,4,9.685,1,146,28.7,10,127.986,16.941,0.9,3.483,1.287,0.004,144,3.85,1,278,752,605,794,1105,287,287,72.525,0.262,3.038,15.29037481,21.213,287,1097
Degenerating,1,0,0,0,54,33,2,0,1177,1177,1177,1,0,129.54,34.307,0.677,2.107,1.02,0.458,282,2.425,1,1177,2432,2174,2432,2854,1177,1177,297.428,48,28,1,10.14,1,178,47,8,149.437,19.391,0.875,3.083,1.134,0.67,190,3.902,1,376,1022,896,1040,1467,376,376,95.015,0.435,4.718,31.946,14.866,376,865
Degenerating,0,1,2,1,23,46,9,0,1628,1628,1628,1,0,55.849,33.216,0.634,2.846,-1.56,0.619,84,1.242,0.878,1430,750.756,2022,4980.502,2022,1430,1628,420.573,20,42,7,9.189,9,373,135.667,3,137.49,20.1,0.667,3.086,-1.046,0.671,198,3.595,0.998,406,480.462,1463,3666.338,1463,406,407,105.143,0.394,0.409,24.99994056,0,407,1034
Degenerating,0,1,2,1,25,53,5,0,2744,2744,2744,1,0,49.884,30.684,0.668,2.666,-1.732,0.579,148,0.968,0.7,1921,848.949,2656,6679.35,2656,1921,2744,708.878,24,49,4,10.913,1,822,173.8,5,102.617,29.174,0.8,2.505,-1.186,0.544,192,2.297,0.993,863,585.171,1996,5072.391,1996,863,869,224.495,0.493,0.836,31.66906012,0,869,1762
Degenerating,1,1,3,1,47,80,7,0,4707,4707,4707,1,0,115.287,62.387,0.64,1.6,0.943,0.348,568,1.413,0.939,3906,6630,4768,6666,6653,4418,4707,1189.459,27,43,2,6.425,1,9,2.583,12,202.235,5.568,0.916666667,7.083,2.614,1.539,48,10.968,1,31,84,138,156,340,31,31,7.834,0.011,8.961,0.65861875,35.496,31,2803
Degenerating,0,1,2,1,59,34,6,0,2822,2822,2822,1,0,81.929,44.907,0.509,2.002,-1.213,0.435,254,1.335,0.894,2523,1196.366,3767,9481.007,3767,2523,2822,729.028,49,27,3,8.431,1,65,6.591,22,221.368,12.042,0.955,4.235,-1.113,0.921,120,6.966,1,145,223.98,1010,2638.815,1010,145,145,37.459,0.12,1.718,5.138211427,0,145,1205
Degenerating,0,1,2,1,22,74,7,0,2191,2191,2191,1,0,80.307,41.714,0.6,2.19,-1.253,0.476,228,1.433,0.926,2029,1080.074,3140,8179.158,3140,2029,2191,553.666,16,53,4,12.368,1,5,2.2,5,142.596,3.317,0.8,10.005,-2.293,2.174,22,12.273,1,11,24.457,135,373.631,135,11,11,2.78,0.009,5.76,0.502107769,0,11,1228
Degenerating,0,1,2,1,35,56,6,0,2597,2597,2597,1,0,61.54,36.712,0.577,2.366,-1.477,0.514,194,1.134,0.804,2087,972.079,2945,7375.376,2945,2087,2597,670.902,32,53,4,10.762,1,184,30.111,9,142.407,16.462,0.889,3.438,-1.174,0.747,132,4.214,1,271,296.277,1142,2940.665,1142,271,271,70.009,0.2,2.657,10.43505609,0,271,1355
